Pregunta,Respuesta,Categoría,Fuente
¿Qué tipos de becas otorga la UPAO?,"La UPAO otorga becas por primer puesto en admisión, excelencia en colegios, alto rendimiento en pregrado, participación deportiva y por fallecimiento del tutor.",Tipos de becas,Reglamento de Becas UPAO (Art. 5)
¿Qué es una media beca en la UPAO?,"Es un beneficio que cubre el 50% del costo de las pensiones académicas, sin incluir matrícula.",Definiciones,Reglamento de Becas UPAO (Art. 2)
¿Qué principios rigen el otorgamiento de becas en la UPAO?,"Excelencia académica, reciprocidad, equidad, veracidad, oportunidad y controles posteriores.",Principios,Reglamento de Becas UPAO (Art. 3)
¿Qué requisitos deben cumplir los beneficiarios para renovar su beca por primer puesto?,"Matricularse en todas las asignaturas, mantener el primer puesto con promedio ≥14 y aprobar todas las materias.",Requisitos de renovación,Reglamento de Becas UPAO (Art. 10)
¿Cómo se otorgan las becas por excelencia escolar?,"A egresados premiados por excelencia de colegios con convenio vigente, que presenten la documentación requerida.",Excelencia escolar,Reglamento de Becas UPAO (Art. 11-14)
¿Qué estudiantes pueden recibir beca por pertenecer al COAR?,Los 10 primeros puestos del COAR que postulen y presenten su carta de mérito y admisión reciente.,COAR,Reglamento de Becas UPAO (Art. 15-18)
¿Qué cubre la beca por primer puesto en estudios de pregrado?,Cubre la totalidad de pensiones por enseñanza y puede extenderse durante el internado.,Beca académica,Reglamento de Becas UPAO (Art. 19-24)
¿Cómo se otorga la beca por participación deportiva competitiva?,Se otorga a quienes obtienen la más alta distinción representando a UPAO en eventos reconocidos por FEDUP o asociaciones paralímpicas.,Beca deportiva,Reglamento de Becas UPAO (Art. 25-28)
¿Quiénes pueden acceder a becas por fallecimiento del tutor?,"Estudiantes matriculados con tutor registrado como único aportante, que demuestren carencia económica.",Beca por fallecimiento,Reglamento de Becas UPAO (Art. 35-42)
¿Qué documentos se necesitan para solicitar la beca por fallecimiento del tutor?,"Solicitud, acta de defunción, declaración jurada, ficha socioeconómica y otros según evaluación.",Documentación,Reglamento de Becas UPAO (Art. 40)
¿Qué beneficios incluye la beca por fallecimiento del tutor?,"Cubre pensiones, matrícula y otros conceptos académicos desde el momento de solicitud.",Cobertura,Reglamento de Becas UPAO (Art. 39)
¿Qué condiciones excluyen del beneficio de beca?,"Sanción disciplinaria, falsedad documental, tutor con recursos económicos o incumplimiento de requisitos.",Pérdida del beneficio,Reglamento de Becas UPAO (Art. 55)
¿Qué diferencia hay entre beca y media beca por rendimiento académico?,La beca es para el primer puesto con promedio ≥14; la media beca es para el segundo puesto con promedio ≥13.,Rendimiento académico,"Reglamento de Becas UPAO (Art. 22-23, 45-46)"
¿Qué requisitos debe cumplir un deportista calificado para acceder a una beca?,"Tener certificado del IPD, representar a la UPAO y estar matriculado regularmente.",Beca deportiva,Reglamento de Becas UPAO (Art. 30-33)
¿Qué funciones tiene el Comité de Becas?,"Evaluar solicitudes, proponer cronogramas, emitir dictámenes y supervisar el reglamento.",Gestión,Reglamento de Becas UPAO (Art. 54)
¿Cuál es la vigencia de las becas otorgadas?,"Una beca tiene vigencia semestral y la media beca también, pudiendo renovarse.",Vigencia,"Reglamento de Becas UPAO (Art. 6, 24, 47)"
¿Cuándo se pierde definitivamente una beca?,"Cuando hay sanción disciplinaria, falsedad documental o descubrimiento de recursos ocultos.",Condiciones de pérdida,Reglamento de Becas UPAO (Art. 55)
¿Cómo se renueva una beca por rendimiento académico?,"De oficio por la Oficina de Evaluación Académica, si se cumplen requisitos académicos.",Renovación,"Reglamento de Becas UPAO (Art. 24, 47)"
¿Qué requisitos deben cumplir los beneficiarios para la beca deportiva por alto nivel?,Estar registrado como DECAN por el IPD y presentar constancia vigente.,Deportistas de alto nivel,Reglamento de Becas UPAO (Art. 32-34)
¿Qué sucede si un estudiante reserva matrícula?,Puede mantener su beca solo si la reserva es ordinaria y está vigente.,Reserva de matrícula,Reglamento de Becas UPAO (Art. 7.4)
