Pregunta,Respuesta,Categoría,Fuente
¿Qué grados y certificaciones otorga la Escuela de Posgrado de la UPAO?,"Otorga grados de Maestro y Doctor, además de diplomaturas y cursos especializados.",Grados,"Reglamento Escuela de Posgrado UPAO (Art. 1, 3, 7)"
¿Qué duración tienen los doctorados?,Tienen una duración de seis semestres académicos con un mínimo de 64 créditos.,Doctorado,Reglamento Escuela de Posgrado UPAO (Art. 8)
¿Qué se requiere para ser admitido en una maestría?,"Tener grado de Bachiller, cumplir con los requisitos de admisión y presentar la documentación solicitada.",Admisión,Reglamento Escuela de Posgrado UPAO (Art. 43)
¿Qué tipo de modalidades de admisión existen?,"Concurso de selección, ingreso directo, traslado interno o externo y otras previstas en la ley.",Admisión,Reglamento Escuela de Posgrado UPAO (Art. 40)
¿Qué pasa si desapruebo un curso dos veces?,Pierdes la condición de estudiante del programa de posgrado.,Condición de estudiante,Reglamento Escuela de Posgrado UPAO (Art. 60)
¿Qué requisitos debe cumplir una tesis de doctorado?,"Debe ser individual, rigurosa, original y con publicación en revista indexada (SCOPUS o WOS).",Tesis,"Reglamento Escuela de Posgrado UPAO (Art. 83, 88, 90)"
¿Qué calificación mínima se requiere para aprobar un curso de posgrado?,La nota mínima aprobatoria es 14.,Evaluación,Reglamento Escuela de Posgrado UPAO (Art. 75)
¿Cuántos créditos como máximo se pueden convalidar?,Hasta 20 créditos en maestrías y hasta 5 asignaturas en doctorado.,Convalidación,Reglamento Escuela de Posgrado UPAO (Art. 52)
¿Qué sucede si un estudiante incurre en plagio?,Obtiene nota cero (00) y puede recibir sanción disciplinaria.,Evaluación,Reglamento Escuela de Posgrado UPAO (Art. 78)
¿Quién conforma el jurado de tesis?,Tres docentes designados por el decano; el asesor no puede ser parte del jurado.,Tesis,Reglamento Escuela de Posgrado UPAO (Art. 99)
¿Qué derechos tienen los estudiantes de posgrado?,"A formación de calidad, libertad de expresión, asociación y uso de servicios académicos.",Derechos,Reglamento Escuela de Posgrado UPAO (Art. 106)
¿Qué deberes tienen los estudiantes de posgrado?,"Cumplir normas, actuar con responsabilidad, respeto y contribuir con la imagen de la EPG.",Deberes,Reglamento Escuela de Posgrado UPAO (Art. 105)
¿Cuántos años tengo para obtener el grado después de terminar los estudios?,Tienes hasta tres años para sustentar tu tesis y obtener el grado.,Grado,"Reglamento Escuela de Posgrado UPAO (Art. 70, 71)"
¿Cuál es el valor de un crédito académico?,"1 crédito equivale a 16 h. teóricas, 32 h. prácticas, no lectivas o investigación.",Créditos,Reglamento Escuela de Posgrado UPAO (Art. 67)
¿Qué sucede si no me matriculo por dos semestres consecutivos?,Pierdes la condición de estudiante.,Condición de estudiante,Reglamento Escuela de Posgrado UPAO (Art. 61)
¿Puedo convalidar cursos de otra universidad?,"Sí, cumpliendo con requisitos como sílabos, certificados y pago de derechos.",Convalidación,Reglamento Escuela de Posgrado UPAO (Art. 48-56)
¿Qué requisitos debe cumplir un docente para enseñar en posgrado?,Tener grados académicos iguales o superiores al programa y alta solvencia académica.,Docentes,Reglamento Escuela de Posgrado UPAO (Art. 107)
¿Qué formatos y estilos deben seguirse para redactar tesis?,"Debe seguir normas como APA o Vancouver, según el área del programa.",Tesis,Reglamento Escuela de Posgrado UPAO (Art. 91)
¿Qué modalidades de estudios están autorizadas?,"Modalidad presencial, semipresencial y a distancia según autorización de SUNEDU.",Estudios,Reglamento Escuela de Posgrado UPAO (Art. 63)
¿Qué sucede si no formalizo mi matrícula?,"Pierdes la vacante sin opción a reserva, pero puedes postular en el siguiente proceso.",Matrícula,Reglamento Escuela de Posgrado UPAO (Art. 58)
