Pregunta,Respuesta,Categoría,Fuente
¿Qué comprende la Cuota de Servicio de Enseñanza (CSE)?,"La Cuota de Servicio de Enseñanza (CSE) incluye todos los costos relacionados con la formación académica regular del estudiante durante el semestre: clases, evaluaciones, uso de laboratorios, bibliotecas y demás servicios académicos que forman parte del plan curricular. No incluye servicios adicionales como exámenes extraordinarios o trámites administrativos especiales.",Cuota de Enseñanza,Plan Tarifario 2025 - Definición de CSE
¿Cómo se divide el pago de la Cuota de Servicio de Enseñanza (CSE)?,"El pago de la CSE se divide en cinco (5) cuotas mensuales iguales, distribuidas a lo largo del semestre académico. Esta modalidad facilita al estudiante la posibilidad de cumplir con sus pagos sin afectar significativamente su economía familiar.",Cuota de Enseñanza,Plan Tarifario 2025 - Cronograma de pagos
¿Qué sucede si no pago una de las cuotas mensuales de enseñanza?,"En caso de incumplimiento del pago de una cuota, se generará un recargo por mora. Además, la Universidad puede restringir ciertos servicios académicos como la visualización de notas, emisión de constancias o trámites internos hasta regularizar la deuda pendiente.",Moras y penalidades,Plan Tarifario 2025 - Penalidades por mora
¿Qué debo hacer si deseo solicitar un fraccionamiento o prórroga de pago?,"Si el estudiante atraviesa una situación económica complicada, puede solicitar formalmente el fraccionamiento o prórroga de pagos en la Oficina de Tesorería o mediante el sistema virtual. Esta solicitud debe realizarse antes de la fecha de vencimiento de la cuota y será evaluada según el Reglamento Financiero vigente.",Fraccionamiento de pagos,Plan Tarifario 2025 - Procedimiento de fraccionamiento
¿Existen descuentos o beneficios económicos por alto rendimiento académico?,"Sí, la Universidad otorga becas y beneficios económicos a los estudiantes con alto rendimiento académico. Estos beneficios pueden cubrir total o parcialmente la CSE, y su otorgamiento está regulado por el Reglamento de Becas.",Becas y beneficios,Plan Tarifario 2025 - Becas por mérito académico
¿Qué servicios se consideran adicionales a la enseñanza?,"Los servicios adicionales incluyen trámites administrativos como constancias, duplicados, exámenes extraordinarios, uso especial de laboratorios, entre otros. Cada uno tiene una tarifa específica que debe ser consultada en el tarifario anexo al documento.",Servicios adicionales,Plan Tarifario 2025 - Derechos académicos
¿Dónde puedo revisar el cronograma exacto de vencimientos de cuotas?,El cronograma completo de vencimientos se publica en la plataforma académica (Intranet) al inicio de cada semestre y también se encuentra en el documento oficial del Plan Tarifario. Es importante revisarlo para evitar pagos extemporáneos.,Calendario de pagos,Plan Tarifario 2025 - Anexo de cronograma
¿Qué consecuencias tiene la morosidad en pagos de derechos académicos?,"La morosidad genera intereses diarios y puede conllevar restricciones académicas como la imposibilidad de matricularse, acceder a exámenes o realizar trámites en línea. Es recomendable regularizar cualquier deuda lo antes posible para evitar estos inconvenientes.",Moras y penalidades,Plan Tarifario 2025 - Política de morosidad
¿Cómo puedo acceder a una beca por situación económica?,"Debes presentar tu solicitud de beca socioeconómica con los documentos que acrediten tu situación (ingresos familiares, carta de exposición de motivos, etc.). Esta solicitud será evaluada por el área de Bienestar Universitario y tiene fechas establecidas en el cronograma oficial.",Becas y beneficios,Plan Tarifario 2025 - Becas socioeconómicas
¿Qué derechos académicos tienen costo adicional al proceso de matrícula?,"Derechos como reinscripción, retiro de cursos, validación de estudios, emisión de certificados, constancias y trámites de titulación están sujetos a pagos adicionales establecidos en el tarifario vigente.",Derechos académicos,Plan Tarifario 2025 - Anexo tarifario
¿Se puede exonerar del pago de alguna cuota en casos excepcionales?,La exoneración parcial o total de cuotas solo aplica en casos debidamente justificados y evaluados por la Dirección de Bienestar. Requiere presentación formal de solicitud y sustento documentado.,Exoneraciones,Plan Tarifario 2025 - Procedimientos especiales
¿Cómo afecta la inasistencia a clases en relación con la CSE?,"La Cuota de Servicio de Enseñanza se mantiene incluso si el estudiante falta a clases, ya que cubre el acceso al servicio académico completo. No se hacen devoluciones por inasistencias.",Cuota de Enseñanza,Plan Tarifario 2025 - Términos generales
"¿Qué pasa si me retiro del semestre, puedo solicitar devolución?","Si el estudiante se retira oficialmente antes de la tercera semana de clases, puede solicitar la devolución parcial de lo pagado. Después de ese periodo, no hay lugar a reembolsos, salvo excepciones justificadas.",Retiros y devoluciones,Plan Tarifario 2025 - Política de devolución
¿Cómo puedo pagar mis cuotas de manera virtual?,"La UPAO dispone de pagos a través de la banca en línea, transferencias o tarjeta de crédito desde el portal institucional. También se puede pagar directamente desde la aplicación móvil o agencias autorizadas.",Formas de pago,Plan Tarifario 2025 - Canales de pago
¿Existe recargo si pago fuera de fecha?,"Sí. Todo pago realizado fuera de la fecha estipulada tendrá un recargo por mora diaria, calculado desde el primer día de retraso hasta el día de regularización. El monto exacto está detallado en el tarifario.",Moras y penalidades,Plan Tarifario 2025 - Recargo por mora
¿Qué hago si no puedo seguir pagando el semestre?,"Debes acudir a Bienestar Universitario y/o Tesorería para exponer tu situación. En algunos casos se pueden ofrecer alternativas como fraccionamiento, prórrogas o postulación a becas urgentes.",Fraccionamiento / Apoyo económico,Plan Tarifario 2025 - Casos especiales
¿Los exámenes de subsanación tienen costo adicional?,Sí. Los exámenes de subsanación no están incluidos en la CSE y tienen un costo adicional por cada curso. Las fechas y montos se detallan en la sección de derechos académicos del tarifario.,Servicios adicionales,Plan Tarifario 2025 - Exámenes extraordinarios
¿Se puede pagar todo el semestre por adelantado?,"Sí, es posible pagar la CSE completa en una sola cuota al inicio del semestre. Esta modalidad puede ser beneficiosa si deseas evitar moras o simplificar tu cronograma de pagos.",Formas de pago,Plan Tarifario 2025 - Modalidades de pago
