Pregunta,Respuesta,Categoría,Fuente
¿Qué requisitos debo cumplir para conservar mi condición de estudiante regular?,"Para seguir siendo estudiante regular, tienes que matricularte en al menos 12 créditos por ciclo. Solo puedes llevar menos si estás en tu último semestre o tienes una justificación válida.",Condición de estudiante,Reglamento de Estudiantes UPAO (Art. 4)
¿Cuáles son algunos deberes de los estudiantes en la UPAO?,"Como estudiante, debes ir a clases, cumplir las reglas, respetar a todos y revisar tu correo UPAO constantemente.",Deberes,Reglamento de Estudiantes UPAO (Art. 5)
¿Qué derechos tienen los estudiantes según el reglamento?,"Tienes derecho a recibir una buena educación, usar servicios médicos, dar tu opinión y participar en decisiones de la universidad.",Derechos,Reglamento de Estudiantes UPAO (Art. 6)
¿En qué casos se pierde la condición de estudiante?,"Pierdes la condición de estudiante si no te matriculas ni reservas, desapruebas un curso tres veces, renuncias o te sancionan de forma definitiva.",Condición de estudiante,Reglamento de Estudiantes UPAO (Art. 8)
¿Qué tipos de faltas disciplinarias existen?,"Las faltas se clasifican en leves, graves y muy graves, y cada una tiene sus propias sanciones.",Régimen disciplinario,Reglamento de Estudiantes UPAO (Art. 17)
¿Qué sanciones se aplican por faltas leves?,"Si cometes una falta leve, la sanción es solo una amonestación escrita.",Régimen disciplinario,Reglamento de Estudiantes UPAO (Art. 26.1)
¿Qué sanciones se aplican por faltas graves?,"Si cometes una falta grave, puedes ser suspendido por uno o dos semestres.",Régimen disciplinario,Reglamento de Estudiantes UPAO (Art. 26.2)
¿Qué sanciones se aplican por faltas muy graves?,"Si cometes una falta muy grave, la sanción es la expulsión definitiva de la universidad.",Régimen disciplinario,Reglamento de Estudiantes UPAO (Art. 26.3)
¿Qué derechos tienen los estudiantes con discapacidad?,"Si tienes alguna discapacidad, tienes derecho a usar servicios, espacios y equipos adaptados a tus necesidades.",Derechos,Reglamento de Estudiantes UPAO (Art. 6.5)
¿Qué servicios complementarios ofrece la universidad?,"La UPAO te ofrece servicios de salud, psicología, actividades culturales y deportes para ayudarte durante tu etapa universitaria.",Servicios complementarios,Reglamento de Estudiantes UPAO (Art. 7)
¿Qué debo hacer si no puedo matricularme en un semestre?,"Debes presentar una solicitud de reserva de matrícula dentro del plazo. Si no lo haces, podrías perder tu condición de estudiante.",Condición de estudiante,Reglamento de Estudiantes UPAO (Art. 8)
¿Qué pasa si no asisto a clases sin justificación?,La inasistencia injustificada puede considerarse una falta y afectar tu rendimiento o llevar a sanciones.,Deberes,Reglamento de Estudiantes UPAO (Art. 5)
¿Cómo puedo apelar una sanción disciplinaria?,Puedes presentar una apelación dentro de los cinco días hábiles posteriores a la notificación de la sanción.,Régimen disciplinario,Reglamento de Estudiantes UPAO (Art. 28)
¿Quiénes pueden aplicar sanciones a los estudiantes?,"Las autoridades como el Director de Escuela, el Decano o el Consejo Universitario pueden aplicar sanciones según la falta.",Régimen disciplinario,Reglamento de Estudiantes UPAO (Art. 27)
¿Qué derechos tengo si soy sancionado?,"Tienes derecho a la defensa, al debido proceso y a presentar una apelación.",Régimen disciplinario,Reglamento de Estudiantes UPAO (Art. 28)
¿Los estudiantes pueden participar en decisiones universitarias?,"Sí, puedes participar como representante estudiantil en órganos de gobierno universitario.",Derechos,Reglamento de Estudiantes UPAO (Art. 6.8)
¿Qué sucede si cometo plagio o suplantación?,Son faltas muy graves y pueden llevar a la expulsión definitiva.,Régimen disciplinario,Reglamento de Estudiantes UPAO (Art. 25.6)
¿Puedo cambiar de carrera dentro de la universidad?,"Sí, puedes solicitar traslado interno cumpliendo con los requisitos establecidos.",Condición de estudiante,Reglamento de Estudiantes UPAO
¿La universidad garantiza el respeto a mi identidad personal?,"Sí, tienes derecho al respeto de tu dignidad, intimidad y personalidad.",Derechos,Reglamento de Estudiantes UPAO (Art. 6.3)
¿Qué pasa si participo en actos de violencia dentro de la universidad?,La violencia física o verbal es una falta muy grave y puede llevar a sanción como expulsión.,Régimen disciplinario,Reglamento de Estudiantes UPAO (Art. 25.3)
