Pregunta,Respuesta,Categoría,Fuente
¿Cuál es el costo inicial para matricularse en pregrado presencial?,Debes pagar: Matrícula (S/300) + Carné Universitario (S/25) + Carné Único UPAO (S/10) = Total S/335. La primera cuota se paga aparte según tu carrera.,Matrícula,Sección 1.1 - Proceso de Matrícula Presencial
¿Cuántas cuotas tiene el programa de Medicina Humana?,"5 cuotas mensuales de S/1,840 (Total S/9,200 por semestre). Incluye acceso a laboratorios y simuladores médicos.",Cuotas,Tabla 1.2 - Cuotas Pregrado Presencial
¿Qué descuentos ofrece la UPAO?,Principalmente: 10% por pago anticipado del semestre completo (no acumulable). Ejemplo: En Administración ahorrarías S/275 por semestre.,Descuentos,Sección 3.1 - Descuento por Pago Anticipado
¿Cómo pagan los cursos en segunda matrícula?,"El primer curso repitente se paga con la 2da cuota, el segundo con la 3ra, y los adicionales con la 4ta cuota. Costo = precio por crédito de tu carrera.",Matrícula,Sección 2.1 - Cursos por Repetición
¿Cuánto cuesta la carpeta de grado para bachiller?,"S/1,000 soles. Incluye: trámites administrativos, uso de toga/birrete y ceremonia de graduación. Válida por 2 años.",Titulación,Código UC01 - Carpeta de Bachiller
¿Qué carreras tienen modalidad semipresencial?,"Derecho, Administración, Contabilidad e Ingeniería de Computación. Cuotas desde S/425 (Programa Gente que Trabaja) hasta S/550 (CRECE).",Programas,Tabla 1.2 - Pregrado Semipresencial
¿Puedo convalidar mi certificado Cambridge?,"Sí: KET (S/150), PET (S/300), FCE/CAE (S/450). Presenta el certificado original en el Centro de Idiomas + pago correspondiente.",Certificaciones,Tabla 1.6 - Convalidación Cambridge
¿Cuánto cuesta la maestría en Derecho?,"Inscripción: S/350 + Matrícula: S/500 + 5 cuotas de S/600 = Total S/4,350. Incluye acceso a jurisprudencia digital.",Posgrado,Tabla Posgrado - Maestrías
¿Qué pasa si pierdo mi carné universitario?,Solicita duplicado (S/20): 1) Declaración Jurada en Tesorería 2) Pago 3) Foto actualizada. Entrega en 48 horas.,Trámites,Código ANT2 - Duplicado de Carné
¿Hay horario nocturno para el Centro de Idiomas?,"Sí, programas intensivos (18h/semana) cuestan S/300 mensuales. Horarios: Lunes a Viernes 6:30pm-9:30pm o Sábados completos.",Idiomas,Tabla 1.1.1 - Inglés Intensivo
¿Cómo pagar la segunda especialidad en Enfermería?,"Matrícula: S/200 + 5 cuotas de S/350 = Total S/1,950. Para menciones como Cuidados Intensivos Neonatales.",Segunda Especialidad,Tabla Segunda Especialidad - Enfermería
¿Qué libros usan en italiano básico?,Libro 'Café Italia' (S/117.60) + Licencia digital 'Via del Corso' (S/160). Compra en Centro de Idiomas con 10% descuento para estudiantes.,Materiales,Tabla 1.1.4 - Libros de Italiano
¿Cuánto cuesta el examen de ubicación de inglés?,S/20 soles. Resultados en 24h. Requisito: Presentar DNI y voucher de pago. Se reprograma gratis por primera vez.,Idiomas,Código 249 - Examen de Ubicación
¿Hay costo por cambio de carrera?,"Sí, S/120 soles. Requiere: 1) Solicitud firmada 2) Voucher de pago 3) Entrevista académica. Máximo 1 cambio por año.",Trámites,Código UE09 - Cambio de Carrera
¿Qué incluye el CEPREU Contado?,Matrícula (S/50) + Pago único (S/350) = S/400. Incluye: 1) Materiales físicos y digitales 2) Simulacros 3) Tutorías personalizadas.,Preuniversitario,Sección 2 - CEPREU Contado
¿Cómo validar mi TOEFL para graduación?,Proceso: 1) Presentar certificado original (mínimo 80 puntos) 2) Pago S/100 3) Equivalencia en 10 días. Aplica para pregrado/posgrado.,Certificaciones,Nota 1.1.5 - Convalidación TOEFL
¿Cuánto cuesta la constancia de tercio superior?,S/30 soles. Requisitos: 1) Promedio ponderado ≥14 2) No adeudar pagos 3) Solicitud en ventanilla. Entrega en 24h.,Trámites,Código UC17 - Constancias Académicas
¿Hay becas para deportistas calificados?,"Sí, descuento del 25% al 50% según logros deportivos. Requiere: 1) Certificado federado vigente 2) Entrevista 3) Rendimiento académico ≥13.",Becas,Resolución N°222-2023-CD-UPAO
¿Puedo congelar mis cuotas por emergencia?,Solo por: 1) Enfermedad grave (con informe médico) 2) Desastre natural. Solicitud en Oficina de Tesorería con documentación comprobatoria.,Pagos,Artículo 12 - Reglamento de Pagos
¿Dónde imprimo mis certificados de pago?,Portal http://transcript.upao.edu.pe/. Duplicados físicos (S/25) solo en Tesorería con voucher de pago (Código UC47).,Trámites,Nota (****) - Comprobantes Digitales
